key,w2,npe,time
1,0.6279105710926727,0.0661710575222969,1007.8725383281708
2,0.605861500735243,0.030992519110441208,1037.971482038498
3,0.6172625292497246,0.12645038962364197,1004.0559010505676
4,0.9201682610213631,0.12932823598384857,993.9208776950836
5,0.8511711747604517,0.09826371818780899,934.1574151515961
43,0.8463731015525807,0.22716137766838074,210.9927523136139
6,0.7592801547471982,0.0020806945394724607,1005.0460150241852
7,0.6873935053939751,0.11293282359838486,1005.7534651756287
8,0.6311009755593258,0.1071726605296135,1078.0049858093262
9,0.7218111236543002,0.13042736053466797,1975.6371319293976
1,0.6517941112230387,0.12239668518304825,1016.5876069068909
1,0.6652383207540521,0.04030126705765724,1277.8501119613647
1,0.6819788443973006,0.06411266326904297,1084.073394060135
1,0.6675408844668022,0.09659118950366974,1088.4703187942505
1,0.6755820556940827,0.11619307100772858,1291.3255610466003
2,0.6108623919173827,0.016096068546175957,2289.2034344673157
2,0.6072877293380928,0.06377571821212769,1262.512475013733
2,0.6135346695127288,0.024458134546875954,931.030767917633
2,0.6151055771353784,0.04691871255636215,925.5123362541199
2,0.5867467698551554,0.0537852942943573,909.2980258464813
3,0.6173828079559647,0.16192154586315155,894.2921187877655
3,0.6258485110156327,0.17527003586292267,948.479620218277
3,0.6226731561903112,0.18608622252941132,1042.6238491535187
3,0.5725623524762607,0.10339827835559845,980.4254448413849
3,0.6305387012041102,0.1282954216003418,989.9167113304138
4,0.8758650162230385,0.10290808975696564,958.1892411708832
4,0.8758005293630335,0.07955285161733627,972.7586781978607
4,0.9087989012296872,0.0770670622587204,999.0486352443695
4,0.9170569777282939,0.09218946844339371,973.4201619625092
4,0.9257076218801992,0.19583086669445038,951.5366530418396
5,0.8719211404454391,0.13700293004512787,943.4777030944824
5,0.8890766262737084,0.05963614583015442,917.7440209388733
